,Movie 0,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Movie 11,Movie 12,Movie 13,Movie 14
User 0,4.0,1.0,5,2.0,4.0,5,,1.0,3.0,1.0,5.0,1.0,5.0,,
User 1,5.0,1.0,3,5.0,1.0,2,4.0,3.0,,,5.0,1.0,4.0,1.0,
User 2,1.0,,1,,5.0,1,5.0,4.0,2.0,1.0,1.0,,4.0,1.0,2.0
User 3,,1.0,3,1.0,,1,3.0,4.0,4.0,,5.0,3.0,2.0,,4.0
User 4,3.0,3.0,4,2.0,,2,4.0,1.0,4.0,,,3.0,,,
User 5,4.0,,1,2.0,2.0,4,2.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0
User 6,2.0,4.0,3,2.0,1.0,2,,,3.0,,5.0,5.0,,,
User 7,5.0,5.0,5,4.0,4.0,4,2.0,1.0,,1.0,4.0,3.0,5.0,3.0,3.0
User 8,5.0,1.0,3,,1.0,4,5.0,4.0,,4.0,5.0,,1.0,,
User 9,2.0,3.0,1,5.0,3.0,1,4.0,1.0,1.0,2.0,5.0,,4.0,,5.0
